SESSIONID,USERID,REQUESTMONTH,REQUESTEDURL,lat,lon
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,10,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
100007,100007,9,h:1096113,55.4766037463,13.5904526711
